program;thread_num;stars_count;time
./task1.py;24;3072;50.933375
./task2.py;24;3072;50.293597
./task1.py;16;3072;72.078016
./task2.py;16;3072;70.855251
./task1.py;8;3072;101.157418
./task2.py;8;3072;101.536130
./task1.py;4;3072;198.393402
./task2.py;4;3072;199.469253
./task1.py;2;3072;395.358279
./task2.py;2;3072;391.895334
./task1.py;1;3072;783.802109
./task2.py;1;3072;854.218896
./task1.py;24;3072;53.148662
./task2.py;24;3072;51.847350
./task1.py;16;3072;78.325153
./task2.py;16;3072;76.332428
./task1.py;24;3072;52.466451
./task2.py;24;3072;51.901100
./task1.py;16;3072;77.367934
./task2.py;16;3072;77.629271
./task1.py;8;3072;108.707130
./task2.py;8;3072;111.566642
./task1.py;4;3072;220.058752
./task2.py;4;3072;217.045713
./task1.py;2;3072;480.434148
./task2.py;2;3072;437.106641
./task1.py;1;3072;857.104832
./task2.py;1;3072;854.752013
./task1.py;24;3072;54.615948
./task2.py;24;3072;50.140152
./task1.py;16;3072;72.842477
./task2.py;16;3072;71.921472
./task1.py;8;3072;99.968205
./task2.py;8;3072;107.973734
./task1.py;4;3072;175.123919
./task2.py;4;3072;175.204611
./task1.py;2;3072;378.899002
./task2.py;2;3072;353.800890
./task1.py;1;3072;684.521851
./task2.py;1;3072;776.270696
./task1.py;24;3072;52.670993
./task2.py;24;3072;50.543981
./task1.py;16;3072;77.771665
./task2.py;16;3072;79.106237
./task1.py;8;3072;109.880649
./task2.py;8;3072;109.763800
./task1.py;24;3072;51.619393
./task2.py;24;3072;51.839612
./task1.py;16;3072;72.255678
./task2.py;16;3072;70.113902
./task1.py;8;3072;112.316383
./task2.py;8;3072;113.371833
./task1.py;4;3072;199.483818
./task2.py;4;3072;215.174349
./task1.py;2;3072;392.164117
./task2.py;2;3072;396.643484
./task1.py;1;3072;894.328644
./task2.py;1;3072;784.900682
./task1.py;24;3072;50.613846
./task2.py;24;3072;51.082379
./task1.py;16;3072;74.240519
./task1.py;64;3072;20.722883
./task2.py;64;3072;19.903554
./task1.py;32;3072;29.901215
./task2.py;32;3072;29.823846
./task1.py;24;3072;39.004885
./task2.py;24;3072;39.696661
./task1.py;16;3072;59.427143
./task2.py;16;3072;54.351682
./task1.py;64;3072;20.699543
./task2.py;64;3072;20.929899
./task1.py;32;3072;29.675274
./task2.py;32;3072;29.874102
./task1.py;24;3072;36.977162
./task2.py;24;3072;36.138584
./task1.py;16;3072;55.830724
./task2.py;16;3072;60.046309
./task1.py;64;3072;21.072608
./task2.py;64;3072;19.721979
./task1.py;32;3072;27.149846
./task2.py;32;3072;30.205593
./task1.py;24;3072;39.468179
./task2.py;24;3072;39.337144
./task1.py;16;3072;54.244155
./task2.py;16;3072;59.290654
./task1.py;64;3072;20.727472
./task2.py;64;3072;20.845001
./task1.py;32;3072;28.426873
./task2.py;32;3072;28.792311
./task1.py;24;3072;40.299647
./task2.py;24;3072;38.310106
./task1.py;16;3072;54.278991
./task2.py;16;3072;55.747582
./task1.py;64;3072;20.890836
./task2.py;64;3072;20.683712
./task1.py;32;3072;28.843830
./task2.py;32;3072;29.307193
./task1.py;24;3072;38.915677
./task2.py;24;3072;36.859910
./task1.py;16;3072;55.117390
./task2.py;16;3072;60.269191
./task3_zeus.py;24;96;49.98141527175903
./task3_zeus.py;16;96;131.80740928649902
./task3_zeus.py;8;96;124.98822951316833
./task3_zeus.py;4;96;192.73798823356628
./task3_zeus.py;2;96;424.8875353336334
./task3_zeus.py;1;96;834.4064574241638
./task3_zeus.py;24;96;50.13689470291138
./task3_zeus.py;16;96;124.1574604511261
./task3_zeus.py;8;96;124.45251774787903
./task3_zeus.py;4;96;208.59691262245178
./task3_zeus.py;2;96;418.41974568367004
./task3_zeus.py;1;96;819.8009622097015
./task3_zeus.py;24;96;47.74303698539734